	Frame	X pixels	Y pixels	Z pixels	
	610	960	340.5	0	
	611	960	340.5	0	
	612	960	340.5	0	
	613	960	340.5	0	
	614	960	340.5	0	
	615	960	340.5	0	
	616	960	340.5	0	
	617	960	340.5	0	
	618	960	340.5	0	
	619	960	340.5	0	
	620	960	340.5	0	
	621	960	340.5	0	
	622	960	340.5	0	
	623	960	340.5	0	
	624	960	340.5	0	
	625	960	340.5	0	
	626	960	340.5	0	
	627	960	340.5	0	
	628	960	340.5	0	
	629	960	340.5	0	
	630	960	340.5	0	
	631	960	340.5	0	
	632	960	340.5	0	
	633	960	340.5	0	
	634	960	340.5	0	
	635	960	340.5	0	
	636	960	340.5	0	
	637	960	340.5	0	
	638	960	340.5	0	
	639	960	340.5	0	
	640	960	340.5	0	
	641	960	340.5	0	
	642	960	340.5	0	
	643	960	340.5	0	
	644	960	340.5	0	
	645	960	340.5	0	
	646	960	340.5	0	
	647	960	340.5	0	
	648	960	340.5	0	
	649	960	340.5	0	
	650	960	340.5	0	
	651	960	340.5	0	
	652	960	340.5	0	
	653	960	340.5	0	
	654	960	340.5	0	
	655	960	340.5	0	
	656	960	340.5	0	
	657	960	340.5	0	
	658	960	340.5	0	
	659	960	340.5	0	
	660	960	340.5	0	
	661	960	340.5	0	
	662	960	340.5	0	
	663	960	340.5	0	
	664	960	340.5	0	
	665	960	340.5	0	
	666	960	340.5	0	
	667	960	340.5	0	
	668	960	340.5	0	
	669	960	340.5	0	
	670	960	340.5	0	
	671	960	340.5	0	
	672	960	340.5	0	
	673	960	340.5	0	
	674	960	340.5	0	
	675	960	340.5	0	
	676	960	340.5	0	
	677	960	340.5	0	
	678	960	340.5	0	
	679	960	340.5	0	
	680	960	340.5	0	
	681	960	340.5	0	
	682	960	340.5	0	
	683	960	340.5	0	
	684	960	340.5	0	
	685	960	340.5	0	
	686	960	340.5	0	
	687	960	340.5	0	
	688	960	340.5	0	
	689	960	340.5	0	
	690	960	340.5	0	
	691	960	340.5	0	
	692	960	340.5	0	
	693	960	340.5	0	
	694	960	340.5	0	
	695	960	340.5	0	
	696	960	340.5	0	
	697	960	340.5	0	
	698	960	340.5	0	
	699	960	340.5	0	
	700	960	340.5	0	
	701	960	340.5	0	
	702	960	340.5	0	
	703	960	340.5	0	
	704	960	340.5	0	
	705	960	340.5	0	
	706	960	340.5	0	
	707	960	340.5	0	
	708	960	340.5	0	
	709	960	340.5	0	
	710	960	340.5	0	
	711	960	340.5	0	
	712	960	340.5	0	
	713	960	340.5	0	
	714	960	340.5	0	
	715	960	340.5	0	
	716	960	340.5	0	
	717	960	340.5	0	
	718	960	340.5	0	
	719	960	340.5	0	
	720	960	340.5	0	
	721	960	340.5	0	
	722	960	340.5	0	
	723	960	340.5	0	
	724	960	340.5	0	
	725	960	340.5	0	
	726	960	340.5	0	
	727	960	340.5	0	
	728	960	340.5	0	
	729	960	340.5	0	
	730	960	340.5	0	
	731	960	340.5	0	
	732	960	340.5	0	
	733	960	340.5	0	
	734	960	340.5	0	
